fiscal_year,assistance_category_name,current_amount,constant_amount
2006,Economic,900000,1031625
2003,Economic,900000,1125833
2006,Military,891000,1021309
2005,Economic,887870,1050821
2008,Economic,883659,966268
2003,Economic,881850,1103129
2005,Economic,873600,1033932
2010,Economic,869603,931760
2015,Economic,869128,857544
2015,Economic,859186,847734
2002,Economic,858000,1093803
2015,Economic,857301,845874
2008,Economic,850000,929461
2009,Economic,850000,918680
2006,Economic,850000,974313
2002,Economic,844913,1077119
2006,Economic,839000,961704
2007,Economic,834000,930800
2001,Economic,831265,1076739
2015,Economic,827752,816719
2007,Economic,825148,920921
2011,Economic,824338,866340
2013,Economic,821378,833876
2006,Economic,820800,940842
2003,Economic,819832,1025549
2004,Economic,810968,989942
2014,Economic,808409,808409
2006,Economic,806214,924124
2013,Economic,805621,817880
2013,Economic,805486,817743
2008,Economic,802328,877333
2003,Economic,800000,1000740
2001,Economic,800000,1036241
2006,Economic,800000,917000
2003,Economic,800000,1000740
2010,Economic,800000,857182
2008,Economic,800000,874787
2013,Economic,796183,808298
2004,Economic,795089,970558
2000,Economic,791000,1049359
2000,Economic,790000,1048032
2013,Economic,789545,801559
2001,Economic,785000,1016812
2010,Military,777000,832538
2012,Economic,775213,800698
2014,Economic,775000,775000
2014,Economic,775000,775000
2011,Economic,773610,813027
2003,Economic,769234,962254
2003,Economic,765834,958001
2011,Military,765000,803978
2005,Economic,763000,903033
2005,Economic,760000,899483
2009,Economic,759291,820641
2007,Economic,755000,842631
2015,Economic,751538,741521
2013,Economic,750000,761412
2012,Economic,750000,774655
2013,Economic,750000,761412
2011,Economic,747894,786002
2015,Economic,744487,734564
2005,Economic,735000,869894
2010,Economic,735000,787536
2001,Economic,733653,950302
2011,Economic,732000,769297
2003,Military,724000,905670
2009,Economic,719455,777587
2015,Economic,711500,702016
2006,Economic,710677,814615
2011,Economic,709400,745546
2002,Economic,704592,898234
2008,Economic,703233,768974
2012,Economic,700000,723012
2008,Economic,700000,765439
2004,Economic,699999,854482
2014,Economic,699963,699963
2001,Military,695000,900234
2012,Military,694000,716814
2013,Economic,693069,703615
2002,Economic,687930,876993
2006,Economic,679777,779195
2005,Economic,679777,804536
2007,Economic,676620,755154
2002,Economic,676184,862019
2012,Economic,669620,691633
2013,Economic,668411,678582
2014,Economic,668070,668070
