fiscal_year,assistance_category_name,current_amount,constant_amount
2004,Economic,17930,21887
2014,Economic,17697,17697
2014,Economic,17610,17610
2006,Economic,17600,20174
2006,Economic,17592,20165
2002,Economic,17580,22412
2004,Economic,17574,21453
2011,Economic,17505,18397
2009,Economic,17500,18914
2006,Economic,17400,19944
2006,Economic,17362,19901
2014,Economic,17352,17352
2009,Economic,17300,18697
2013,Military,17240,17502
2012,Economic,17222,17788
2013,Economic,17126,17387
2013,Economic,17104,17364
2014,Economic,17097,17097
2013,Economic,17090,17350
2012,Economic,17037,17597
2009,Economic,17007,18381
2013,Military,16910,17168
2012,Economic,16816,17369
2009,Economic,16811,18170
2002,Economic,16635,21207
2006,Economic,16515,18930
2009,Economic,16392,17717
2014,Economic,16326,16326
2004,Economic,16284,19877
2006,Economic,16200,18569
2009,Economic,16090,17390
2004,Economic,16069,19616
2001,Economic,16061,20804
2006,Economic,16031,18376
2012,Economic,16022,16549
2007,Economic,15960,17813
2003,Economic,15900,19889
2009,Economic,15840,17119
2007,Economic,15805,17639
2007,Economic,15800,17633
2008,Economic,15797,17273
2011,Economic,15793,16598
2002,Economic,15735,20060
2005,Economic,15726,18612
2008,Economic,15704,17172
2004,Economic,15661,19118
2003,Economic,15615,19534
2009,Economic,15578,16837
2007,Economic,15526,17328
2009,Economic,15508,16762
2007,Economic,15504,17304
2013,Economic,15493,15728
2013,Economic,15392,15626
2002,Economic,15364,19587
2004,Economic,15318,18698
2003,Military,15300,19139
2011,Economic,15282,16061
2014,Economic,15281,15281
2008,Economic,15265,16692
2013,Economic,15244,15476
2004,Economic,15054,18376
2014,Economic,15000,15000
2001,Economic,15000,19429
2013,Economic,15000,15228
2013,Economic,15000,15228
2013,Economic,15000,15228
2013,Economic,15000,15228
2013,Economic,15000,15228
2014,Economic,15000,15000
2014,Economic,15000,15000
2014,Economic,15000,15000
2014,Economic,15000,15000
2014,Economic,15000,15000
2014,Economic,15000,15000
2014,Economic,15000,15000
2014,Economic,15000,15000
2014,Economic,15000,15000
2014,Economic,15000,15000
2014,Economic,15000,15000
2013,Economic,15000,15228
2013,Economic,15000,15228
2013,Economic,15000,15228
2013,Economic,15000,15228
2013,Economic,15000,15228
2013,Economic,15000,15228
2013,Economic,15000,15228
2010,Economic,14900,15965
2010,Economic,14679,15728
2009,Economic,14649,15832
2011,Economic,14527,15267
2012,Economic,14509,14986
2006,Economic,14508,16629
2004,Economic,14475,17669
2010,Economic,14405,15435
2007,Economic,14400,16071
2006,Economic,14400,16506
2015,Economic,14349,14158
2015,Economic,14339,14148
2006,Economic,14334,16431
2005,Economic,14060,16641
2007,Economic,14054,15686
2013,Economic,14000,14213
2013,Economic,14000,14213
2013,Economic,14000,14213
2013,Economic,14000,14213
2013,Economic,14000,14213
2013,Economic,14000,14213
2004,Economic,13965,17047
2000,Economic,13900,18440
2001,Economic,13900,18004
2006,Economic,13900,15932
2005,Economic,13900,16451
2002,Economic,13839,17643
2005,Economic,13800,16332
2011,Economic,13740,14441
2000,Economic,13600,18042
2008,Economic,13551,14818
2003,Economic,13500,16887
2004,Economic,13500,16479
2009,Economic,13488,14578
2004,Economic,13367,16317
2008,Economic,13333,14580
2011,Economic,13072,13738
2008,Economic,13056,14277
2009,Economic,13049,14104
2008,Economic,13031,14250
2008,Economic,13030,14248
2009,Economic,13005,14055
2009,Economic,12861,13900
2013,Economic,12777,12972
2007,Economic,12764,14245
2002,Economic,12758,16264
2004,Economic,12727,15535
2006,Economic,12676,14530
2008,Economic,12649,13832
2011,Economic,12518,13156
2013,Economic,12415,12603
2007,Economic,12344,13777
2012,Economic,12342,12747
2007,Economic,12320,13751
2002,Economic,12255,15623
2003,Economic,12242,15313
2004,Economic,12192,14883
2004,Economic,12045,14703
2012,Economic,11966,12360
2013,Economic,11906,12087
2006,Economic,11900,13640
2010,Economic,11872,12720
2002,Economic,11856,15114
2009,Economic,11762,12712
2006,Economic,11674,13381
2002,Economic,11611,14802
2006,Economic,11600,13296
2015,Economic,11563,11409
2003,Economic,11562,14463
2007,Economic,11407,12731
2007,Economic,11407,12731
2003,Economic,11370,14223
2006,Economic,11364,13026
2008,Economic,11289,12345
2013,Economic,11285,11457
2008,Economic,11203,12250
2008,Economic,11203,12250
2007,Economic,11121,12411
2015,Economic,11120,10971
2015,Economic,11011,10864
2016,Economic,10987,10671
2014,Economic,10937,10937
2007,Economic,10900,12165
2003,Economic,10900,13635
2010,Economic,10856,11633
2006,Economic,10850,12437
2005,Economic,10810,12794
2000,Economic,10800,14327
2000,Economic,10800,14327
2008,Economic,10672,11669
2008,Economic,10660,11657
2011,Economic,10596,11136
2007,Economic,10506,11725
2004,Economic,10500,12817
2010,Economic,10478,11227
2009,Economic,10449,11294
2010,Economic,10431,11176
2008,Economic,10411,11385
2003,Economic,10400,13009
2014,Economic,10274,10274
2011,Economic,10079,10592
2009,Economic,10078,10892
2009,Economic,10076,10890
2012,Economic,10064,10395
2004,Economic,10035,12250
2009,Economic,10027,10837
2004,Economic,10000,12206
2009,Economic,10000,10808
2009,Economic,10000,10808
2002,Economic,10000,12748
2005,Economic,10000,11835
2013,Economic,10000,10152
2011,Economic,9898,10402
2010,Economic,9808,10510
2001,Economic,9801,12696
2001,Economic,9800,12693
2002,Economic,9674,12333
2012,Economic,9667,9985
2009,Economic,9598,10373
2009,Economic,9578,10352
2011,Economic,9564,10051
2012,Economic,9537,9851
2015,Economic,9506,9379
2008,Economic,9503,10391
2005,Economic,9500,11243
2003,Economic,9500,11883
2014,Economic,9500,9500
2003,Economic,9473,11850
2010,Economic,9393,10064
2009,Economic,9390,10149
2004,Economic,9174,11199
2008,Economic,9142,9996
2004,Economic,9094,11101
2007,Economic,9007,10053
2003,Economic,8949,11194
2007,Economic,8943,9981
2013,Economic,8909,9044
2009,Economic,8900,9619
2015,Economic,8896,8777
2012,Economic,8853,9144
2005,Economic,8847,10471
2001,Economic,8752,11337
2005,Economic,8752,10359
2009,Economic,8746,9453
2006,Economic,8719,9994
2012,Economic,8715,9001
2007,Economic,8700,9709
2005,Economic,8619,10201
2009,Economic,8613,9309
2003,Economic,8600,10757
2013,Military,8594,8725
2005,Economic,8588,10165
2013,Economic,8500,8629
2008,Economic,8485,9278
2011,Economic,8479,8911
2012,Economic,8442,8720
2009,Economic,8431,9112
2013,Military,8429,8557
2008,Economic,8384,9168
2014,Economic,8345,8345
2016,Economic,8345,8105
2002,Economic,8340,10633
2011,Economic,8300,8722
2005,Economic,8238,9750
2003,Economic,8149,10194
2011,Economic,8132,8546
2005,Economic,8130,9622
2010,Economic,8126,8707
2011,Economic,8078,8490
2008,Economic,8056,8809
2015,Economic,8056,7948
2009,Economic,8000,8646
2011,Economic,8000,8407
2007,Economic,8000,8928
2011,Economic,7980,8387
2015,Economic,7926,7820
2015,Economic,7926,7820
2015,Economic,7926,7820
2006,Economic,7872,9024
2006,Economic,7871,9022
2011,Economic,7593,7979
2013,Economic,7591,7707
2010,Economic,7539,8077
2009,Economic,7534,8143
2011,Economic,7523,7907
2013,Military,7500,7614
2013,Economic,7427,7540
2007,Economic,7380,8237
2010,Economic,7319,7842
2003,Economic,7304,9137
2012,Economic,7295,7535
2010,Economic,7285,7806
2003,Economic,7276,9102
2005,Economic,7272,8607
2012,Economic,7252,7491
2009,Economic,7244,7829
2013,Military,7237,7347
2011,Economic,7194,7561
2011,Economic,7191,7558
2012,Economic,7181,7417
2012,Economic,7181,7417
2007,Economic,7169,8001
2009,Economic,7104,7679
2015,Economic,7061,6967
2002,Economic,7000,8923
2008,Economic,7000,7654
2013,Military,6931,7036
2014,Economic,6838,6838
2015,Economic,6818,6727
2008,Economic,6816,7453
2014,Economic,6784,6784
2014,Economic,6779,6779
2005,Economic,6775,8018
2015,Economic,6613,6525
2003,Economic,6557,8202
2007,Economic,6532,7290
2002,Economic,6450,8222
2016,Economic,6436,6251
2008,Economic,6364,6959
2009,Economic,6362,6876
2008,Economic,6321,6911
2014,Economic,6317,6317
2013,Economic,6313,6409
2002,Economic,6300,8031
2013,Military,6300,6395
2012,Economic,6262,6467
2012,Economic,6261,6467
2008,Economic,6254,6838
2008,Economic,6239,6823
2006,Economic,6200,7106
2011,Economic,6181,6496
2010,Economic,6178,6620
2007,Economic,6172,6888
2007,Economic,6172,6888
2011,Economic,6170,6485
2011,Economic,6163,6477
2000,Economic,6122,8121
2003,Economic,6100,7630
2002,Economic,6092,7767
2015,Economic,6083,6002
2010,Economic,6073,6507
2010,Economic,6069,6503
2004,Economic,6022,7351
2015,Economic,6000,5920
2007,Economic,6000,6696
2004,Economic,5976,7295
2015,Economic,5929,5850
2015,Economic,5929,5849
2015,Economic,5905,5826
2001,Economic,5900,7642
2004,Economic,5900,7202
2003,Economic,5872,7345
2014,Economic,5870,5870
2005,Economic,5868,6945
2014,Economic,5813,5813
2007,Economic,5800,6473
2010,Economic,5737,6147
2013,Military,5701,5788
2007,Economic,5700,6361
2007,Economic,5700,6361
2004,Economic,5681,6935
2012,Economic,5667,5853
2005,Economic,5602,6630
2016,Economic,5584,5424
2001,Economic,5580,7227
2005,Economic,5562,6583
2010,Economic,5540,5936
2009,Economic,5453,5893
2012,Economic,5424,5603
2008,Economic,5384,5888
2005,Economic,5340,6320
2012,Economic,5323,5497
2009,Economic,5316,5746
2011,Economic,5298,5568
2011,Economic,5298,5568
2013,Economic,5281,5361
2011,Economic,5252,5519
2004,Economic,5218,6369
2003,Economic,5211,6518
2010,Economic,5209,5582
2010,Economic,5181,5551
2009,Economic,5166,5583
2009,Economic,5129,5544
2007,Economic,5127,5722
2015,Economic,5100,5032
2009,Economic,5094,5506
2003,Economic,5080,6355
2004,Economic,5039,6151
2008,Economic,5000,5467
2008,Economic,5000,5467
2010,Economic,5000,5357
2011,Economic,5000,5254
2009,Economic,4997,5400
2004,Economic,4980,6079
2013,Economic,4942,5017
2005,Economic,4812,5695
2009,Economic,4761,5146
2015,Economic,4753,4689
2016,Economic,4720,4584
2004,Economic,4711,5751
2001,Economic,4700,6087
2010,Economic,4686,5021
2013,Economic,4582,4652
2011,Economic,4581,4814
2009,Economic,4553,4921
2008,Economic,4548,4973
2011,Economic,4523,4754
2011,Economic,4510,4740
2006,Economic,4498,5155
2015,Economic,4492,4432
2002,Economic,4469,5697
2005,Economic,4446,5262
2011,Economic,4419,4644
2003,Economic,4389,5491
2007,Economic,4379,4888
2007,Economic,4359,4864
2012,Economic,4357,4501
2005,Economic,4337,5133
2005,Economic,4300,5089
2009,Economic,4287,4634
2005,Economic,4268,5051
2009,Economic,4258,4602
2014,Economic,4232,4232
2013,Military,4200,4263
2012,Military,4199,4337
2009,Economic,4168,4505
2013,Economic,4167,4230
2012,Economic,4165,4301
2013,Economic,4131,4194
2013,Economic,4131,4194
2008,Economic,4087,4469
2012,Economic,4053,4186
2015,Economic,4050,3996
2002,Military,4042,5152
2010,Economic,4011,4298
2009,Economic,4002,4325
2004,Economic,4000,4882
2003,Economic,4000,5003
2010,Economic,4000,4285
2009,Economic,3999,4323
2003,Economic,3999,5003
2013,Economic,3987,4047
2005,Economic,3986,4718
2008,Economic,3963,4333
2009,Economic,3905,4221
2008,Economic,3900,4264
2012,Economic,3887,4015
2011,Economic,3867,4064
2008,Economic,3845,4204
2013,Economic,3811,3869
2009,Economic,3791,4098
2010,Economic,3784,4055
2013,Economic,3761,3819
2013,Economic,3761,3819
2016,Economic,3755,3647
2011,Economic,3740,3931
2007,Economic,3700,4129
2008,Economic,3689,4033
2006,Economic,3685,4224
2010,Economic,3676,3938
2014,Economic,3632,3632
2011,Economic,3621,3806
2004,Economic,3610,4407
2011,Economic,3605,3788
2011,Economic,3605,3788
2001,Economic,3600,4664
2003,Economic,3600,4503
2006,Economic,3600,4126
2015,Economic,3564,3517
2005,Economic,3544,4194
2013,Economic,3534,3587
2007,Economic,3526,3936
2007,Economic,3500,3906
2008,Economic,3448,3770
2011,Economic,3405,3578
2011,Economic,3405,3578
2012,Economic,3405,3516
2009,Economic,3398,3672
2011,Economic,3398,3571
2014,Economic,3392,3392
2009,Economic,3379,3652
2009,Economic,3342,3612
2009,Economic,3342,3612
2013,Economic,3326,3376
2015,Economic,3325,3280
2007,Economic,3292,3674
2009,Economic,3248,3511
2010,Economic,3227,3457
2011,Economic,3175,3337
2004,Economic,3172,3873
2002,Economic,3171,4043
2006,Economic,3166,3630
2005,Economic,3154,3732
2004,Economic,3143,3836
2010,Economic,3115,3337
2003,Economic,3100,3877
2002,Military,3093,3943
2004,Economic,3071,3749
2009,Economic,3068,3316
2009,Economic,3043,3289
2008,Economic,3041,3325
2004,Economic,3034,3703
2002,Economic,3024,3855
2009,Economic,3023,3267
2007,Economic,3000,3348
2004,Economic,2994,3655
2010,Economic,2973,3186
2011,Economic,2966,3118
2003,Economic,2966,3711
2004,Economic,2956,3609
2012,Economic,2925,3021
2009,Economic,2886,3119
2010,Economic,2883,3089
2003,Economic,2861,3579
2005,Economic,2861,3386
2010,Economic,2849,3053
2006,Economic,2830,3243
2004,Economic,2778,3391
2003,Economic,2736,3422
2009,Economic,2736,2957
2009,Economic,2736,2957
2003,Economic,2713,3394
2016,Economic,2702,2625
2016,Economic,2681,2604
2014,Economic,2675,2675
2004,Economic,2656,3243
2007,Economic,2649,2956
2004,Economic,2648,3232
2014,Economic,2611,2611
2014,Economic,2598,2598
2009,Economic,2568,2776
2001,Economic,2550,3304
2003,Economic,2529,3163
2011,Economic,2523,2652
2003,Economic,2505,3133
2012,Economic,2504,2586
2013,Economic,2502,2540
2000,Economic,2500,3316
2003,Economic,2500,3127
2003,Economic,2500,3127
2008,Economic,2466,2696
2006,Economic,2455,2814
2002,Economic,2450,3123
2003,Economic,2441,3054
2013,Economic,2420,2456
2008,Economic,2419,2645
2012,Economic,2414,2493
2007,Economic,2412,2692
2013,Economic,2378,2414
2014,Economic,2370,2370
2010,Economic,2332,2498
2007,Economic,2326,2596
2010,Economic,2311,2476
2009,Economic,2308,2495
2006,Economic,2275,2608
2002,Military,2269,2892
2009,Economic,2265,2448
2005,Economic,2245,2658
2011,Economic,2228,2342
2011,Economic,2216,2328
2009,Economic,2209,2388
2009,Economic,2198,2376
2004,Economic,2193,2677
2013,Economic,2189,2222
2012,Military,2188,2259
2011,Economic,2176,2286
2005,Economic,2151,2546
2013,Economic,2139,2171
2006,Economic,2137,2450
2008,Economic,2121,2319
2005,Economic,2111,2499
2016,Economic,2107,2047
2009,Economic,2100,2270
2002,Economic,2091,2666
2012,Economic,2087,2155
2007,Economic,2053,2291
2010,Economic,2042,2187
2010,Economic,2041,2187
2014,Economic,2038,2038
2004,Economic,2034,2483
2013,Economic,2028,2059
2014,Economic,2010,2010
2011,Economic,2002,2104
2011,Economic,2002,2104
2014,Economic,1997,1997
2015,Economic,1976,1950
2002,Economic,1969,2511
2002,Economic,1906,2430
2009,Economic,1904,2057
2010,Economic,1877,2011
2011,Economic,1875,1970
2006,Economic,1846,2116
2009,Economic,1834,1983
2014,Economic,1831,1831
2010,Economic,1831,1962
2011,Economic,1825,1918
2011,Economic,1786,1877
2013,Economic,1785,1812
2015,Economic,1768,1744
2012,Economic,1765,1823
2012,Economic,1762,1820
2011,Economic,1744,1833
2007,Economic,1738,1940
2007,Economic,1725,1925
2016,Economic,1707,1657
2013,Military,1704,1730
2014,Economic,1700,1700
2014,Economic,1696,1696
2014,Economic,1696,1696
2008,Economic,1692,1850
2011,Economic,1690,1776
2011,Economic,1678,1763
2002,Economic,1673,2133
2003,Economic,1650,2064
2009,Economic,1648,1782
2015,Economic,1646,1624
2013,Economic,1626,1651
2010,Economic,1626,1742
2001,Economic,1624,2103
2010,Economic,1624,1740
2010,Economic,1617,1733
2010,Economic,1600,1714
2005,Economic,1577,1867
2014,Economic,1575,1575
2013,Military,1575,1599
2009,Economic,1571,1698
2009,Economic,1549,1675
2006,Economic,1537,1761
2005,Economic,1533,1815
2013,Military,1531,1554
2014,Economic,1526,1526
2003,Economic,1522,1904
2008,Economic,1520,1662
2002,Economic,1515,1931
2013,Economic,1505,1528
2015,Economic,1500,1480
2009,Economic,1468,1587
2011,Economic,1468,1542
2002,Economic,1452,1851
2002,Economic,1452,1851
2002,Economic,1452,1851
2002,Economic,1452,1851
2002,Economic,1451,1849
2002,Economic,1441,1837
2012,Economic,1436,1483
2013,Military,1414,1435
2011,Economic,1393,1464
2006,Economic,1365,1564
2002,Economic,1360,1734
2014,Economic,1352,1352
2007,Economic,1349,1505
2016,Economic,1300,1262
2003,Economic,1297,1623
2005,Economic,1296,1534
2012,Economic,1295,1338
2015,Economic,1292,1274
2012,Economic,1284,1326
2012,Economic,1270,1312
2011,Economic,1250,1313
2009,Economic,1221,1320
2004,Economic,1212,1479
2011,Economic,1200,1261
2013,Economic,1189,1207
2013,Economic,1189,1207
2011,Economic,1176,1236
2001,Economic,1168,1513
2009,Economic,1159,1253
2016,Economic,1125,1092
2002,Economic,1118,1426
2012,Economic,1101,1137
2009,Economic,1100,1189
2010,Economic,1096,1175
2010,Economic,1092,1170
2013,Military,1088,1104
2015,Economic,1087,1072
2015,Economic,1080,1065
2006,Economic,1076,1233
2009,Economic,1067,1153
2009,Economic,1067,1153
2009,Economic,1066,1153
2008,Economic,1059,1158
2004,Economic,1053,1285
2004,Economic,1022,1247
2012,Economic,1016,1049
2010,Economic,1014,1087
2005,Economic,1001,1185
2005,Economic,1000,1183
2012,Economic,1000,1032
2003,Economic,999,1250
2003,Economic,959,1200
2014,Economic,955,955
2008,Economic,929,1016
2010,Economic,909,974
2006,Economic,905,1038
2009,Economic,897,969
2008,Economic,895,979
2011,Economic,872,916
2011,Economic,863,907
2015,Economic,855,843
2005,Economic,853,1009
2014,Economic,846,846
2003,Economic,843,1054
2011,Economic,838,881
2008,Economic,837,915
2007,Economic,828,924
2011,Economic,809,851
2009,Economic,807,872
2009,Economic,807,872
2009,Economic,807,872
2009,Economic,800,864
2016,Economic,798,775
2002,Economic,798,1017
2015,Economic,794,783
2002,Economic,792,1010
2015,Economic,782,771
2009,Economic,774,837
2008,Economic,760,831
2010,Economic,752,805
2003,Economic,732,916
2013,Economic,730,741
2011,Economic,725,761
2006,Economic,724,830
2010,Economic,713,764
2012,Economic,705,728
2010,Economic,696,746
2011,Economic,681,716
2002,Economic,670,854
2009,Economic,663,717
2005,Economic,659,780
2010,Economic,658,705
2011,Economic,640,673
2009,Economic,636,687
2007,Economic,615,686
2004,Economic,608,742
2009,Economic,599,648
2011,Economic,562,591
2012,Economic,552,570
2016,Economic,550,534
2011,Economic,548,576
2008,Economic,545,595
2006,Economic,542,622
2009,Economic,538,581
2009,Economic,512,553
2010,Economic,508,545
2002,Economic,506,645
2015,Economic,500,493
2015,Economic,500,493
2014,Economic,500,500
2012,Economic,500,516
2014,Economic,500,500
2004,Economic,500,610
2007,Economic,500,558
2007,Economic,500,558
2007,Economic,500,558
2007,Economic,475,530
2011,Economic,450,472
2013,Economic,450,456
2012,Economic,450,464
2004,Economic,438,534
2009,Economic,420,453
2010,Economic,418,448
2009,Economic,414,448
2012,Economic,406,419
2011,Economic,404,425
2009,Economic,403,436
2009,Economic,403,436
2007,Economic,400,446
2013,Economic,394,400
2016,Economic,385,373
2002,Economic,382,487
2011,Economic,382,401
2013,Economic,380,386
2012,Economic,374,386
2010,Economic,371,398
2009,Economic,368,397
2011,Economic,362,380
2006,Economic,354,405
2009,Economic,352,380
2014,Economic,350,350
2009,Economic,347,375
2011,Economic,343,361
2004,Economic,335,409
2014,Economic,329,329
2001,Economic,328,425
2015,Economic,307,303
2009,Economic,304,329
2007,Economic,300,335
2011,Economic,300,315
2010,Economic,279,299
2012,Economic,278,287
2008,Economic,275,301
2009,Economic,274,296
2011,Economic,272,286
2007,Economic,266,297
2011,Economic,264,278
2005,Economic,262,310
2010,Economic,259,278
2009,Economic,259,280
2011,Economic,250,262
2016,Economic,250,242
2011,Economic,250,262
2015,Economic,250,246
2009,Economic,248,269
2008,Economic,248,271
2008,Economic,245,267
2010,Economic,231,248
2001,Economic,228,295
2008,Economic,213,233
2005,Economic,208,246
2009,Economic,200,216
2011,Economic,195,205
2011,Economic,195,205
2010,Economic,195,209
2014,Economic,194,194
2014,Economic,184,184
2015,Economic,182,180
2009,Economic,181,195
2008,Economic,178,194
2004,Economic,175,213
2003,Economic,173,217
2005,Economic,173,205
2006,Economic,169,194
2004,Economic,168,205
2009,Economic,161,174
2012,Economic,160,165
2001,Economic,153,199
2002,Economic,150,191
2011,Economic,150,157
2011,Economic,150,157
2012,Economic,150,154
2003,Economic,143,179
2002,Economic,140,178
2010,Economic,131,140
2003,Economic,130,163
2009,Economic,124,134
2010,Economic,122,130
2010,Economic,121,130
2005,Economic,113,133
2007,Economic,110,122
2016,Economic,110,106
2008,Economic,108,118
2005,Economic,105,124
2002,Economic,102,130
2011,Economic,102,107
2004,Economic,100,122
2002,Economic,100,127
2004,Economic,98,119
2012,Economic,96,100
2009,Economic,90,98
2011,Economic,89,93
2009,Economic,86,92
2010,Economic,82,88
2011,Economic,81,85
2013,Economic,79,80
2005,Economic,75,89
2009,Economic,75,81
2014,Economic,75,75
2009,Economic,74,80
2006,Economic,72,83
2016,Economic,70,68
2007,Economic,70,78
2010,Economic,69,74
2002,Economic,67,86
2005,Economic,63,75
2004,Economic,60,73
2003,Economic,60,75
2003,Economic,59,74
2002,Economic,59,75
2005,Economic,58,69
2014,Economic,55,55
2007,Economic,55,61
2007,Economic,55,61
2007,Economic,55,61
2016,Economic,50,49
2004,Economic,50,61
2011,Economic,49,52
2010,Economic,48,51
2010,Economic,43,46
2009,Economic,41,44
2005,Economic,37,44
2005,Economic,37,44
2003,Economic,36,45
2008,Economic,35,38
2008,Economic,31,34
2002,Economic,25,32
2003,Economic,16,20
2008,Economic,14,15
2004,Economic,12,14
2004,Economic,12,14
2004,Economic,12,14
2004,Economic,12,14
2009,Economic,9,10
2016,Economic,7,7
2010,Economic,2,2
2011,Economic,0,0
2010,Economic,0,0
2006,Economic,0,0
2005,Economic,0,0
2013,Economic,0,0
2012,Economic,0,0
2004,Economic,0,0
2002,Economic,0,0
2008,Economic,0,0
2002,Economic,0,0
2002,Economic,0,0
2004,Economic,0,0
2011,Economic,0,0
2004,Economic,0,0
2003,Economic,0,0
2004,Economic,0,0
2011,Economic,0,0
2004,Economic,0,0
2009,Economic,0,0
2009,Economic,0,0
2011,Economic,0,0
2010,Economic,0,0
2010,Economic,0,0
2010,Economic,0,0
2011,Economic,0,0
2011,Economic,0,0
2011,Economic,0,0
2014,Economic,0,0
2009,Economic,0,0
2015,Economic,0,0
2004,Economic,0,0
2006,Economic,0,0
2010,Economic,0,0
2006,Economic,0,0
2015,Economic,0,0
2007,Economic,0,0
2003,Economic,0,0
2002,Economic,0,0
2012,Economic,0,0
2008,Economic,0,0
2012,Economic,0,0
2015,Economic,-2,-2
2002,Economic,-2,-3
2002,Economic,-2,-3
2008,Economic,-4,-4
2013,Economic,-5,-5
2010,Economic,-5,-6
2006,Economic,-6,-7
2006,Economic,-6,-7
2006,Economic,-7,-8
2013,Economic,-8,-8
2009,Economic,-9,-10
2005,Economic,-12,-14
2006,Economic,-12,-14
2013,Economic,-12,-12
2010,Economic,-14,-15
2005,Economic,-18,-22
2010,Economic,-19,-20
2006,Economic,-20,-23
2002,Economic,-20,-25
2003,Economic,-21,-26
2012,Economic,-21,-22
2008,Economic,-23,-25
2006,Economic,-25,-29
2010,Economic,-26,-27
2010,Economic,-27,-29
2005,Economic,-27,-32
2007,Economic,-29,-32
2006,Economic,-32,-36
2006,Economic,-32,-36
2011,Economic,-33,-34
2016,Economic,-33,-32
2010,Economic,-33,-35
2010,Economic,-33,-36
2003,Economic,-34,-42
2006,Economic,-35,-40
2009,Economic,-36,-38
2006,Economic,-37,-42
2015,Economic,-42,-42
2006,Economic,-42,-49
2011,Economic,-47,-49
2010,Economic,-51,-54
2010,Economic,-52,-56
2009,Economic,-55,-59
2007,Economic,-55,-61
2010,Economic,-57,-61
2003,Economic,-59,-73
2006,Economic,-59,-68
2015,Economic,-59,-59
2012,Economic,-59,-61
2006,Economic,-62,-71
2014,Economic,-63,-63
2010,Economic,-64,-69
2009,Economic,-64,-70
2015,Economic,-67,-66
2002,Economic,-67,-86
2013,Economic,-69,-70
2005,Economic,-70,-83
2005,Economic,-73,-86
2010,Economic,-73,-79
2013,Economic,-81,-82
2003,Economic,-81,-101
2013,Economic,-86,-87
2003,Economic,-94,-117
2012,Economic,-96,-100
2012,Economic,-98,-102
2003,Economic,-98,-123
2014,Economic,-99,-99
2010,Economic,-101,-108
2007,Economic,-105,-117
2013,Economic,-106,-108
2009,Economic,-111,-120
2013,Economic,-113,-115
2003,Economic,-117,-147
2012,Economic,-118,-122
2011,Economic,-119,-126
2012,Economic,-121,-125
2007,Economic,-126,-140
2002,Economic,-131,-167
2012,Economic,-131,-135
2012,Economic,-131,-135
2008,Economic,-134,-147
2008,Economic,-136,-149
2010,Economic,-147,-158
2009,Economic,-151,-163
2011,Economic,-155,-163
2012,Economic,-158,-163
2010,Economic,-160,-171
2010,Economic,-160,-171
2012,Economic,-162,-167
2007,Economic,-162,-181
2003,Economic,-166,-207
2003,Economic,-171,-215
2009,Economic,-175,-189
2015,Economic,-176,-174
2010,Economic,-177,-189
2006,Economic,-178,-204
2010,Economic,-184,-197
2015,Economic,-184,-181
2010,Economic,-191,-204
2015,Economic,-194,-191
2009,Economic,-194,-210
2014,Economic,-197,-197
2010,Economic,-201,-216
2005,Economic,-203,-240
2015,Economic,-203,-200
2012,Economic,-203,-209
2012,Economic,-203,-209
2010,Economic,-204,-219
2008,Economic,-210,-229
2011,Economic,-211,-222
2008,Economic,-216,-237
2009,Economic,-222,-240
2010,Economic,-230,-246
2006,Economic,-231,-264
2012,Economic,-246,-254
2005,Economic,-246,-292
2006,Economic,-248,-285
2006,Economic,-248,-285
2006,Economic,-248,-285
2010,Economic,-255,-273
2011,Economic,-264,-278
2006,Economic,-273,-313
2010,Economic,-273,-293
2009,Economic,-277,-299
2011,Economic,-278,-292
2003,Economic,-282,-352
2010,Economic,-282,-303
2006,Economic,-294,-338
2009,Economic,-304,-329
2005,Economic,-309,-366
2010,Economic,-319,-342
2011,Economic,-325,-341
2010,Economic,-327,-351
2002,Economic,-331,-422
2011,Economic,-335,-352
2010,Economic,-349,-374
2012,Economic,-352,-364
2013,Economic,-376,-382
2003,Economic,-385,-481
2010,Economic,-387,-415
2007,Economic,-399,-445
2012,Economic,-401,-414
2012,Economic,-406,-419
2004,Economic,-411,-502
2006,Economic,-422,-484
2008,Economic,-430,-470
2011,Economic,-452,-475
2006,Economic,-452,-519
2010,Economic,-453,-485
2005,Economic,-458,-542
2005,Economic,-473,-559
2013,Economic,-473,-480
2004,Economic,-482,-589
2009,Economic,-496,-536
2006,Economic,-497,-570
2006,Economic,-497,-570
2004,Economic,-500,-610
2007,Economic,-500,-558
2007,Economic,-500,-558
2007,Economic,-500,-558
2002,Economic,-514,-655
2010,Economic,-530,-567
2007,Economic,-545,-608
2011,Economic,-548,-576
2009,Economic,-552,-597
2012,Economic,-554,-572
2011,Economic,-562,-591
2008,Economic,-580,-634
2008,Economic,-611,-668
2009,Economic,-614,-664
2010,Economic,-614,-658
2006,Economic,-638,-731
2004,Economic,-643,-786
2013,Economic,-645,-655
2003,Economic,-678,-849
2011,Economic,-681,-715
2007,Economic,-691,-771
2010,Economic,-735,-787
2010,Economic,-773,-829
2007,Economic,-776,-866
2013,Economic,-782,-794
2011,Economic,-804,-845
2009,Economic,-808,-874
2007,Economic,-815,-909
2004,Economic,-833,-1017
2013,Economic,-834,-847
2010,Economic,-841,-902
2004,Economic,-847,-1035
2009,Economic,-853,-922
2012,Economic,-888,-917
2007,Economic,-907,-1012
2001,Economic,-930,-1204
